Parent Category	mapillary-public65	mapillary-public65-relabeled	coco-panoptic-133	coco-panoptic-133-relabeled	ade20k-150	ade20k-150-relabeled	idd-39	idd-39-relabeled	cityscapes-34	cityscapes-34-relabeled	cityscapes-19	cityscapes-19-relabeled	bdd	bdd-relabeled	nyudepthv2-37	scannet-37	sunrgbd-37	sunrgbd-37-relabeled	universal	WordNet 3.1 Synset	Defn (Most of the meanings are derived from WordNet 3.1)	Modification of WordNet Node	test-nyudepthv2-37	kitti-19	voc2012	scannet-20	camvid-11	wilddash-19	pascal-context-60
vehicle	Motorcycle	motorcycle	motorcycle	motorcycle	minibike	motorcycle	motorcycle	motorcycle	motorcycle	motorcycle	motorcycle	motorcycle	motorcycle	motorcycle					motorcycle	motorcycle.n.01	a motor vehicle with two wheels and a strong frame			motorcycle	motorbike			motorcycle	motorbike
vehicle			airplane	airplane	airplane	airplane													airplane	airplane.n.01	an aircraft that has a fixed wing and is powered by propellers or jets	no			aeroplane				aeroplane
vehicle	Bus	bus	bus	bus	bus	bus	bus	bus	bus	bus	bus	bus	bus	bus					bus		a large vehicle carrying many passengers; used for public transport. Typically has swing doors, more than 4 wheels, tires larger than a regular car, and an illuminated front sign			bus	bus			bus	bus
vehicle	On Rails	train	train	train			train	train	train	train	train	train	train	train					train	train.n.01	All vehicles that move on rails, e.g. trams, trains.	no		train	train			train	train
vehicle	Truck	truck	truck	truck	truck	truck	truck	truck	truck	truck	truck	truck	truck	truck					truck	truck.n.01	an automotive vehicle suitable for hauling			truck	background			truck	truck
vehicle	Trailer	trailer					trailer	trailer	trailer	trailer									trailer	trailer.n.03	a large transport conveyance designed to be pulled by a truck or tractor				background				truck
vehicle	Boat	boat_ship	boat	boat_ship	{boat, ship}	boat_ship													boat_ship						boat				boat
vehicle	Wheeled Slow	slow_wheeled_object		slow_wheeled_object															slow_wheeled_object	---	any slow-moving wheeled object, such as strollers, wheelchairs, and carts				background				background
water		river_lake	river	river_lake	{river, lake}	river_lake													river_lake	river.n.01, lake.n.01	River or lake. River: a large natural stream of water, with possible rapids. Lake: a body of (usually fresh) water surrounded by land. Lakes generally have very still water. Should appear naturally formed.				background				water
water		sea	sea	sea	sea	sea													sea	sea.n.01	A sea or ocean. Generally has large amounts of surf. Unlike a river or a lake, one generally cannot sea the far bank of a sea/ocean.	no			background				water
water	Water	water_other	water-other	water_other	water	water_other													water_other	water.n.02	all other kinds of water, e.g. puddles, ditchwater, aquariums, shallow artificially made ponds, zoo ponds, flooded areas, bathtub water, water coming out of a fire hydrant, water from a kitchen faucet, etc. Is not a lake, river, fountain, swimming pool, or sea.	yes			background				water
water				swimming_pool	swimming pool	swimming_pool													swimming_pool	swimming_pool.n.01	pool that provides a facility for swimming; includes jacuzzi	yes			background				water
water				waterfall	waterfall	waterfall													waterfall	waterfall.n.01	a steep descent of the water of a river	no			background				water
wall	Wall	wall	{wall-brick, wall-stone, wall-tile, wall-wood, wall-other-merged}	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall	wall.n.01	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure	yes	wall	wall	background	wall		wall	wall
window			window-other	window	windowpane	window									window	window	window	window	window	window.n.01	a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air		window		background	window			window
window			window-blind	window_blind	blind	window_blind									blinds	blinds	blinds	window_blind	window_blind	window_blind.n.01	A blind for privacy or to keep out light. Placed indoors on a window.	yes	blinds		background				window
unlabeled	{Ego Vehicle, Car Mount, Manhole, Catch Basin, Other Vehicle}				{computer, signboard, monitor, crt screen, screen, canopy,plant, bar, step}		{animal, non-drivable fallback, vehicle fallback, obs-str-bar-fallback, fallback background, ego vehicle, rectification border, out of roi, license plate}		{unlabeled, ego vehicle, rectification border, out of roi, static, dynamic, ground, parking}						{table}	{table}			unlabeled										
